Indeks Harga Konsumen
125.99
126.29
126.59
126.16
126.27
127.66
128.37
128.55
128.52
128.41
128.68
130.02
131.38
131.32
131.51
131.69
132.16
133.46
133.61
133.23
133.21
132.96
132.75
134.11
134.54
134.85
134.91
135.31
135.81
136.92
138.18
138.38
138.02
137.80
137.71
138.45
139.22
139.20
138.95
139.15
139.93
140.63
141.05
140.79
140.41
139.89
140.19
140.75
